path_id,x,y,z
0,58.0974,-129.4069,76.7663
1,10.7678,-121.6095,72.0317
2,21.3320,-124.1022,73.4549
3,21.8045,-126.1447,73.9873
4,22.0255,-126.9664,80.2893
5,21.9590,-127.4816,86.5775
6,20.3667,-124.3193,86.7079
7,13.7134,-124.8116,78.9867
8,12.1505,-128.9031,78.8444
9,11.5808,-128.6324,72.1563
10,0.2778,-121.6170,77.7917
11,-3.1053,-119.5987,72.6785
12,-8.1798,-118.6820,73.3777
13,-8.6696,-125.1276,73.7447
14,-3.0124,-125.1680,79.4122
15,-11.1827,-122.5233,79.5305
16,-7.9162,-122.8881,98.2977
17,-7.4437,-123.2019,103.2639
18,-1.6396,-120.0940,87.3262
19,-0.9851,-125.5908,87.3635
20,63.5613,-140.8410,75.2141
21,63.3545,-141.4909,77.1598
22,62.5077,-144.5217,78.8904
23,62.2930,-144.9547,80.4045
24,62.2756,-146.4643,78.4571
25,35.5939,-133.2390,75.0906
26,33.3887,-133.4757,77.9962
27,32.9975,-132.9842,76.7767
28,25.5778,-141.6275,79.9664
29,24.5103,-141.7896,79.2334
30,24.4284,-141.0957,74.9138
31,14.1296,-141.3408,74.3543
32,12.7201,-140.7739,76.6619
33,11.4347,-140.9069,77.9044
34,11.0075,-140.5564,78.7641
35,11.8583,-140.0792,80.9585
36,12.6852,-139.6204,80.8076
37,9.7140,-140.2135,74.0921
38,8.4216,-140.2783,73.1862
39,5.8345,-138.3004,73.2312
40,18.0869,-127.9183,74.4179
41,15.4592,-126.9859,74.2361
42,17.2249,-130.4026,78.6583
43,14.7886,-130.8804,81.6202
44,14.2900,-131.3786,82.0959
45,13.9513,-125.4343,80.0730
46,13.1128,-126.6576,78.7519
47,11.4435,-126.3980,78.6999
48,9.8328,-126.5098,74.2131
49,4.9268,-129.5468,76.6273
50,-0.0386,-126.5263,74.8896
51,-6.9518,-134.2256,79.2985
52,-7.1764,-134.4756,78.2910
53,-15.7905,-133.7148,74.4287
54,-16.3990,-133.7144,76.9857
55,-42.5626,-127.0340,80.1698
56,-42.9828,-128.9722,78.6626
57,-42.5715,-127.0329,77.1564
58,-44.1781,-127.9059,74.5766
59,-42.1040,-121.4437,75.2196
60,9.4215,-135.5324,72.1969
61,11.2089,-140.2490,71.3331
62,66.6176,-148.3132,74.7747
63,66.4452,-148.7516,80.5952
64,65.6347,-148.9764,85.3459
65,65.3957,-148.3247,90.9582
66,65.1092,-148.7446,96.3367
67,18.0900,-140.3981,103.7743
68,18.6638,-144.4137,93.6412
69,11.5805,-140.8434,89.2287
70,8.1658,-137.2122,88.4284
71,12.4592,-137.7217,88.9223
72,13.7664,-138.2220,89.1451
73,20.8391,-139.6010,87.5001
74,21.0208,-146.0262,87.0171
75,22.4372,-139.2896,78.2898
76,24.0158,-139.3707,72.7949
77,14.3646,-142.4411,71.4695
78,13.4264,-142.4512,71.4285
79,14.6772,-137.4205,71.4761
80,13.4346,-137.0693,71.6496
81,11.5348,-137.4071,71.4181
82,10.2983,-136.8104,71.5357
83,-46.4514,-129.6516,101.3275
84,-31.4181,-49.8550,93.7821
85,-30.9518,-50.2880,100.3883
86,-31.0608,-49.8787,106.1127
87,20.9733,-46.5617,102.0479
88,72.6593,-56.5797,100.8286
89,71.0241,-67.5535,106.2759
90,71.0025,-68.0312,100.4254
91,71.3494,-67.8350,94.5011
92,72.2311,-67.8345,86.9840
93,74.9120,-68.2005,74.7113
94,58.0963,-60.0949,87.2724
95,38.4624,-54.8758,88.5257
96,30.0375,-52.7031,89.5878
97,24.4483,-53.0185,88.1155
98,22.1544,-60.4373,87.5428
99,16.9861,-61.1023,72.9672
100,28.0628,-57.6548,77.4426
101,28.9128,-58.6948,72.1641
102,27.5501,-62.8509,72.2877
103,27.1138,-63.1249,77.6383
104,36.8496,-64.8221,78.1994
105,41.5004,-60.0858,79.5936
106,45.2437,-60.0923,72.9918
107,36.2588,-64.1329,72.0824
